# mock spectrum  center=2440000000Hz  rate=2400000Hz  bins=512
freq_hz,power_dbm
2438800000.000,-98.566
2438804696.673,-94.976
2438809393.346,-96.851
2438814090.020,-93.321
2438818786.693,-92.993
2438823483.366,-92.424
2438828180.039,-96.180
2438832876.712,-96.520
2438837573.386,-95.220
2438842270.059,-96.031
2438846966.732,-95.927
2438851663.405,-94.047
2438856360.078,-96.256
2438861056.751,-95.056
2438865753.425,-93.081
2438870450.098,-95.622
2438875146.771,-95.447
2438879843.444,-96.956
2438884540.117,-94.606
2438889236.791,-94.546
2438893933.464,-95.442
2438898630.137,-95.858
2438903326.810,-94.701
2438908023.483,-96.916
2438912720.157,-97.098
2438917416.830,-95.901
2438922113.503,-94.964
2438926810.176,-95.723
2438931506.849,-95.802
2438936203.523,-95.234
2438940900.196,-95.743
2438945596.869,-95.479
2438950293.542,-97.344
2438954990.215,-93.728
2438959686.888,-97.123
2438964383.562,-95.637
2438969080.235,-93.527
2438973776.908,-93.457
2438978473.581,-94.609
2438983170.254,-93.958
2438987866.928,-94.338
2438992563.601,-96.819
2438997260.274,-96.311
2439001956.947,-94.167
2439006653.620,-98.453
2439011350.294,-97.148
2439016046.967,-93.710
2439020743.640,-93.520
2439025440.313,-95.111
2439030136.986,-92.643
2439034833.659,-94.655
2439039530.333,-92.904
2439044227.006,-93.578
2439048923.679,-95.250
2439053620.352,-93.939
2439058317.025,-95.553
2439063013.699,-96.714
2439067710.372,-95.903
2439072407.045,-95.135
2439077103.718,-93.973
2439081800.391,-92.413
2439086497.065,-92.945
2439091193.738,-94.885
2439095890.411,-94.969
2439100587.084,-93.114
2439105283.757,-91.967
2439109980.431,-97.886
2439114677.104,-94.643
2439119373.777,-94.054
2439124070.450,-96.679
2439128767.123,-94.057
2439133463.796,-96.331
2439138160.470,-95.254
2439142857.143,-92.357
2439147553.816,-93.369
2439152250.489,-96.734
2439156947.162,-97.042
2439161643.836,-96.262
2439166340.509,-92.937
2439171037.182,-95.614
2439175733.855,-95.156
2439180430.528,-95.445
2439185127.202,-92.675
2439189823.875,-95.077
2439194520.548,-96.987
2439199217.221,-95.274
2439203913.894,-94.939
2439208610.568,-97.021
2439213307.241,-92.569
2439218003.914,-92.878
2439222700.587,-95.380
2439227397.260,-96.493
2439232093.933,-92.953
2439236790.607,-94.114
2439241487.280,-95.506
2439246183.953,-94.154
2439250880.626,-96.889
2439255577.299,-96.797
2439260273.973,-96.335
2439264970.646,-97.401
2439269667.319,-94.004
2439274363.992,-95.181
2439279060.665,-94.630
2439283757.339,-94.030
2439288454.012,-96.583
2439293150.685,-96.068
2439297847.358,-96.411
2439302544.031,-93.403
2439307240.705,-93.253
2439311937.378,-95.047
2439316634.051,-94.412
2439321330.724,-96.508
2439326027.397,-92.768
2439330724.070,-95.884
2439335420.744,-96.632
2439340117.417,-90.446
2439344814.090,-95.262
2439349510.763,-98.022
2439354207.436,-93.970
2439358904.110,-92.933
2439363600.783,-95.191
2439368297.456,-95.219
2439372994.129,-93.670
2439377690.802,-91.576
2439382387.476,-91.429
2439387084.149,-97.830
2439391780.822,-94.704
2439396477.495,-94.387
2439401174.168,-93.815
2439405870.841,-97.946
2439410567.515,-93.294
2439415264.188,-96.274
2439419960.861,-94.574
2439424657.534,-96.366
2439429354.207,-96.499
2439434050.881,-94.022
2439438747.554,-96.538
2439443444.227,-94.420
2439448140.900,-92.021
2439452837.573,-94.732
2439457534.247,-96.496
2439462230.920,-96.075
2439466927.593,-94.568
2439471624.266,-95.608
2439476320.939,-96.457
2439481017.613,-95.198
2439485714.286,-97.203
2439490410.959,-91.261
2439495107.632,-94.727
2439499804.305,-95.047
2439504500.978,-91.756
2439509197.652,-96.190
2439513894.325,-95.731
2439518590.998,-95.377
2439523287.671,-96.216
2439527984.344,-97.050
2439532681.018,-95.330
2439537377.691,-94.316
2439542074.364,-95.627
2439546771.037,-95.091
2439551467.710,-96.061
2439556164.384,-96.039
2439560861.057,-95.972
2439565557.730,-95.267
2439570254.403,-93.888
2439574951.076,-95.787
2439579647.750,-93.544
2439584344.423,-92.919
2439589041.096,-94.870
2439593737.769,-93.569
2439598434.442,-93.319
2439603131.115,-96.126
2439607827.789,-95.694
2439612524.462,-94.188
2439617221.135,-95.193
2439621917.808,-93.741
2439626614.481,-95.201
2439631311.155,-93.829
2439636007.828,-93.941
2439640704.501,-94.792
2439645401.174,-94.197
2439650097.847,-94.702
2439654794.521,-93.325
2439659491.194,-97.961
2439664187.867,-96.009
2439668884.540,-94.412
2439673581.213,-96.086
2439678277.886,-96.627
2439682974.560,-92.962
2439687671.233,-96.621
2439692367.906,-93.461
2439697064.579,-94.844
2439701761.252,-94.985
2439706457.926,-95.133
2439711154.599,-93.645
2439715851.272,-95.503
2439720547.945,-95.735
2439725244.618,-95.462
2439729941.292,-96.585
2439734637.965,-94.074
2439739334.638,-96.310
2439744031.311,-95.570
2439748727.984,-94.636
2439753424.658,-93.643
2439758121.331,-95.767
2439762818.004,-95.183
2439767514.677,-93.866
2439772211.350,-95.741
2439776908.023,-93.804
2439781604.697,-95.772
2439786301.370,-95.499
2439790998.043,-96.199
2439795694.716,-92.378
2439800391.389,-94.468
2439805088.063,-94.011
2439809784.736,-95.161
2439814481.409,-95.682
2439819178.082,-92.634
2439823874.755,-93.953
2439828571.429,-94.857
2439833268.102,-92.934
2439837964.775,-93.097
2439842661.448,-93.410
2439847358.121,-96.259
2439852054.795,-95.723
2439856751.468,-95.738
2439861448.141,-96.093
2439866144.814,-94.194
2439870841.487,-94.718
2439875538.160,-93.095
